CookerStat, GenerateAssetRegistry=0.022128, Initialize=0.115063, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3D40B23A4D011E36AF4094933B41CFE2__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=5255, Duration=1.381040, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9164CD5F4CB73535DE38CB8292894DD3__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=449, Duration=1.736190, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_843F244F41A04258E0D067AB1B10B6D5__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=1805, Duration=1.170825, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F1A4266C427C78C70AF6C2A789F303A8__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=3391, Duration=1.254357, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A33036A64B6C14D7CF96F4A01C46477B__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=461, Duration=1.514360, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D871DEA347278784A5575FB11CEF4145__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=461, Duration=1.719870, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D46C51CA4F81A75D185339862DA705DE__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=1765, Duration=1.312166, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DD84D9AA4FCC7EE293AE4D954357A3CC__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=1583, Duration=1.571339, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AB74B41B46D633D52289DBBDEF6D2A5B__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=3177, Duration=1.493614, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E20D8A7342E0F9D6691BA0A14D55CE78__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=561, Duration=1.662891, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DA6F7DBA481A1B841953B6B17B0F4599__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=589, Duration=1.678657, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BBAE1CA14D356977C61B86874F4E0EDF__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=1231, Duration=1.941700, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9D6EF2DE410C779190F7DBB0292FDEDB__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=17463, Duration=1.660679, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2639A58B4FC57001281E94B998F0E4FB__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=12739, Duration=1.793169, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E77512C2477395D87C84CC843C2B7CB5__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=24797, Duration=1.719590, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ED54DE0E42BD3D8EC37CFE8B02FA4A7A__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=15779, Duration=1.521826, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3E511AE848DC0C82D06FE4BDAF232708__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=2837, Duration=1.260996, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C7F0115F407DA09BEE5C83B4E77B6267__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=5623, Duration=1.233891, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdEB0AC1354ABF16B5DD194F97CE651D3B_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B64F2A6242ED6F7A281AAFB2EA95BC3F__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=1801, Duration=1.418658, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionId4FB87B934FAC5D34F6341782858F0693_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9FCCE90946AEF7D76DD2BAA897AAAA1B__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=1571, Duration=1.257680, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
DDCTransactionIdB054820F4988126A88F194A8C9BDDF89_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5A5E9D2F4931B11079723CBDC5519F72__1_0_13123_0, StartTime=2016.05.26-22.11.36, HierarchicalDDC=, DataSize=2555, Duration=1.179401, RunGuid=RunID528C2B3246FF3524E9E0A59ED0B1CB50
