CookerStat, GenerateAssetRegistry=0.039000, Initialize=0.177577, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DC84071A4ED2659EC244608C596F6785__1_0_13123_0, StartTime=2016.05.19-17.31.49, HierarchicalDDC=, DataSize=347, Duration=1.249936, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8CF55B614D0CAD1980F359BBA097AA13__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=458, Duration=1.642421, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C28E05D04A49B18FFBEE01A8AF6F6397__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=458, Duration=1.343980, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3C21019742FE6D97F0CB3FBE1F647E13__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=458, Duration=1.353659, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_29CC68134F7C087AAE8D278C565E3546__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=458, Duration=1.243848, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8AFBB4A14721B7BF7D811DB8B832C647__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=1367, Duration=1.535658, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6FA62A0A44D98DBC6FB792A5633939AD__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=2449, Duration=1.391277, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0778333642E8406A9891BEB407926ED7__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=385, Duration=1.693316, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D294CA9F480F0D4C4E795EA4FE6533A8__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=4549, Duration=1.278978, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FF1F12BA4E1E20F6242AD58AA2815E40__1_0_13123_0, StartTime=2016.05.19-17.31.50, HierarchicalDDC=, DataSize=1945, Duration=1.321573, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
