CookerStat, GenerateAssetRegistry=0.029597, Initialize=0.131104, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_47910B324FFF42C3BF59B8B7E27CB4FC__1_0_13123_0, StartTime=2016.05.20-23.15.02, HierarchicalDDC=, DataSize=437, Duration=1.573823, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5E53EDC1447F5B2461B1479288244BAC__1_0_13123_0, StartTime=2016.05.20-23.15.02, HierarchicalDDC=, DataSize=437, Duration=1.604803, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E38DA858419AB91AB700DCBAAEEF8D56__1_0_13123_0, StartTime=2016.05.20-23.15.02, HierarchicalDDC=, DataSize=727, Duration=1.692761, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_445FB8094A3EBF6745ECAC8228D9E175__1_0_13123_0, StartTime=2016.05.20-23.15.02, HierarchicalDDC=, DataSize=599, Duration=1.727611, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BAFDF0DD450D446D154CDC8C9CABA7A6__1_0_13123_0, StartTime=2016.05.20-23.15.02, HierarchicalDDC=, DataSize=461, Duration=1.700506, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7D27F52442577910002E498C0CCCE968__1_0_13123_0, StartTime=2016.05.20-23.15.02, HierarchicalDDC=, DataSize=527, Duration=1.423635, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_282F22774997B52ADF9F47BB25C04A06__1_0_13123_0, StartTime=2016.05.20-23.15.02, HierarchicalDDC=, DataSize=437, Duration=1.707144, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_77BB5D92438D9E64499A378E07362163__1_0_13123_0, StartTime=2016.05.20-23.15.04, HierarchicalDDC=, DataSize=409, Duration=1.384634, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CFEF431146B769331E2387A5836A3A30__1_0_13123_0, StartTime=2016.05.20-23.15.04, HierarchicalDDC=, DataSize=499, Duration=1.714054, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C9DC58AA41EEFCF6E0A5CF9890A57D8C__1_0_13123_0, StartTime=2016.05.20-23.15.04, HierarchicalDDC=, DataSize=613, Duration=1.577973, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_39D8651B43D0AD1F1CDDD8B86411143E__1_0_13123_0, StartTime=2016.05.20-23.15.04, HierarchicalDDC=, DataSize=829, Duration=1.509380, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4A5B3D2549C9BEC5D9EB349FC617153F__1_0_13123_0, StartTime=2016.05.20-23.15.04, HierarchicalDDC=, DataSize=753, Duration=1.670908, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BD77006A4383566453ACE89FFDD15FB8__1_0_13123_0, StartTime=2016.05.20-23.15.04, HierarchicalDDC=, DataSize=499, Duration=1.907676, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0245BE26469528B0BB814BBACB363EC7__1_0_13123_0, StartTime=2016.05.20-23.15.04, HierarchicalDDC=, DataSize=499, Duration=1.849037, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C41D355B425C6EFDB92566B46920A989__1_0_13123_0, StartTime=2016.05.20-23.15.04, HierarchicalDDC=, DataSize=461, Duration=1.649611, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D63779B74FE15D0D8315F18102D76A7B__1_0_13123_0, StartTime=2016.05.20-23.15.04, HierarchicalDDC=, DataSize=603, Duration=1.436908, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
