CookerStat, GenerateAssetRegistry=0.023510, Initialize=0.118107, RunGuid=RunIDB33E50FF459649ECC1D88299B4B6E48F
DDCTransactionIdA77E5C39446E9D03AEE0F0A4670F8668_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1184DFC745371C2B053BCA902F71E__4FC15E0430F2BE29161332ACCFA10D3E1E6C1172, StartTime=2016.05.06-22.42.10, HierarchicalDDC=, DataSize=4194569, Duration=7.929977, RunGuid=RunIDB33E50FF459649ECC1D88299B4B6E48F
DDCTransactionIdF7D065B743FDE65C23C92C84B8E2C113_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1184DFC745371C2B053BCA902F71E__CD5FF01F9C67A312B3668EE774766A4D4A0A1DF2, StartTime=2016.05.06-22.42.10, HierarchicalDDC=, DataSize=1048841, Duration=3.863204, RunGuid=RunIDB33E50FF459649ECC1D88299B4B6E48F
DDCTransactionId4C474578482920C71EEBE79A3C0E79D0_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1184DFC745371C2B053BCA902F71E__8E9714FBC293F9C4DD2D5A948329B3CE007E764B, StartTime=2016.05.06-22.42.10, HierarchicalDDC=, DataSize=262407, Duration=2.078056, RunGuid=RunIDB33E50FF459649ECC1D88299B4B6E48F
DDCTransactionId4C474578482920C71EEBE79A3C0E79D0_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1184DFC745371C2B053BCA902F71E__6362AE3ACFBE1DA8B1F05D7733CBCFF9501F63C7, StartTime=2016.05.06-22.42.10, HierarchicalDDC=, DataSize=65799, Duration=1.627762, RunGuid=RunIDB33E50FF459649ECC1D88299B4B6E48F
DDCTransactionIdF7D065B743FDE65C23C92C84B8E2C113_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1184DFC745371C2B053BCA902F71E__F0FA1D65338186E2133F378A60EF2D3B8269321B, StartTime=2016.05.06-22.42.10, HierarchicalDDC=, DataSize=16647, Duration=1.969911, RunGuid=RunIDB33E50FF459649ECC1D88299B4B6E48F
DDCTransactionId4C474578482920C71EEBE79A3C0E79D0_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1184DFC745371C2B053BCA902F71E__30DF33A84242BBDA68583E0A0A0689637F7B9173, StartTime=2016.05.06-22.42.10, HierarchicalDDC=, DataSize=7493, Duration=1.554463, RunGuid=RunIDB33E50FF459649ECC1D88299B4B6E48F
DDCTransactionId4343B9FE4649E34617172AA72DD8F5A6_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_565E1A6946F4EB29DE07388056AE4197_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.06-22.42.10, Duration=271.077789, RunGuid=RunIDB33E50FF459649ECC1D88299B4B6E48F
DDCTransactionIdA77E5C39446E9D03AEE0F0A4670F8668_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_565E1A6946F4EB29DE07388056AE4__85BA26F26A72ED641DC69997CA8FB9630871D15E, StartTime=2016.05.06-22.42.11, HierarchicalDDC=, DataSize=4194569, Duration=7.194791, RunGuid=RunIDB33E50FF459649ECC1D88299B4B6E48F
DDCTransactionId4C474578482920C71EEBE79A3C0E79D0_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_565E1A6946F4EB29DE07388056AE4__A3EA77869D49D7431AB0CBB3FBC800F0BE28FDB9, StartTime=2016.05.06-22.42.11, HierarchicalDDC=, DataSize=1048841, Duration=3.478460, RunGuid=RunIDB33E50FF459649ECC1D88299B4B6E48F
DDCTransactionIdF7D065B743FDE65C23C92C84B8E2C113_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_565E1A6946F4EB29DE07388056AE4__802BB400EFE6767FDB300AA2F4B3C9818E95BB4C, StartTime=2016.05.06-22.42.11, HierarchicalDDC=, DataSize=262407, Duration=2.015550, RunGuid=RunIDB33E50FF459649ECC1D88299B4B6E48F
