CookerStat, GenerateAssetRegistry=0.023235, Initialize=0.116721, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1AC39F7D4DE39699DE4A5DACA9574C96__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=3177, Duration=1.553636, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_53C8428040F77E7549B027A2D181B74C__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=561, Duration=1.863144, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E97EB4D34C0434B083F7108FBE671B4C__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=589, Duration=1.770761, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B940E0E0434C66A901D88295E34C203B__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=447, Duration=1.822207, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6B44EFEC4A40279B9B85C68F49082141__1_0_13123_0, StartTime=2016.05.26-19.04.09, HierarchicalDDC=, DataSize=679, Duration=1.607016, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_926396534833A55AF764AB8910AE17FC__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=458, Duration=1.527913, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0D1734E646C0D85D2DD96A9A1819A5B7__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=1955, Duration=1.547273, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0ABE35D843911299BA934C86DD57C652__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=787, Duration=1.305252, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_326538B744ED4121563EF59FC20B79D6__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=737, Duration=1.363337, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C148190D49803FC69274B1A1B61A29EB__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=1417, Duration=1.606744, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BA2A9EA14F7B58AB8665119A848A650B__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=4899, Duration=1.153678, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_04DD47CA469577EC4ED5D3B744CAF6D3__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=449, Duration=1.684189, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_213996264FECCD533A7A1185A2C52E7D__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=1805, Duration=1.645740, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E7AB8DD7428F8B592C04C5A3C5E4A58F__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=3503, Duration=1.572717, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B13345BF4A22145D459C8FB92AD298BA__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=461, Duration=1.990933, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CA0450A14A19E481FF7601AC60493A0F__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=461, Duration=1.964655, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DB96F21E4DDC17D7708DF0A6200E6B4C__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=1765, Duration=1.857892, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionIdCDBB6C90404EC455A2B3B7B7CA40CB53_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AB42F8DD4D6A7D907BC50F89770E608E__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=1583, Duration=1.893844, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId0D09764645600D04F0B5819B04BD61AC_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F480B906460ED281A7787C95C9674F48__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=3177, Duration=1.827467, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
DDCTransactionId1DB1223F4B762086E01976B5D46061D8_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6046ADB14D88052540581BAD72EB8833__1_0_13123_0, StartTime=2016.05.26-19.04.14, HierarchicalDDC=, DataSize=561, Duration=2.062570, RunGuid=RunIDB2054F7B4044DBEC3530C0A8ACF4C293
