CookerStat, GenerateAssetRegistry=0.025053, Initialize=0.130404, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionId7A2896794D2D48CB24EB97BF80FAD07E_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E3805C124D8071E5FD9DB4AA797F206D__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=411, Duration=2.095211, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C5FFE5674A085B4A7202BE91259F1303__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=1.849499, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdD75680D44CC5A90BD7F5AB9B1C6317C3_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A741CD04DB82C26560FD28DB9165A74__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=385, Duration=2.311949, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionId7A2896794D2D48CB24EB97BF80FAD07E_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3B1F8BA340000BBB52B7D88D99C0ADD9__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=423, Duration=2.740592, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CF20F404419254EDCDD578A608B0F78B__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=1.911078, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdD75680D44CC5A90BD7F5AB9B1C6317C3_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A5D3384E4617D4D433DE2DB1630073E5__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=385, Duration=2.432693, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B3280A9D4DDBFD3048F34ABBC7093589__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=385, Duration=1.806032, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionId7A2896794D2D48CB24EB97BF80FAD07E_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E9AE04B349A78527677346ABD5146471__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=2.430279, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdBAE02D04427CC35BBA4BFF808F04DC8B_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BE520D41418AEE53276CE6851C49EA3E__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=423, Duration=2.455030, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionIdD75680D44CC5A90BD7F5AB9B1C6317C3_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_297552324DA8827286F19DA0539BD8A1__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=2.353001, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
DDCTransactionId7A2896794D2D48CB24EB97BF80FAD07E_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CFC59D174787F86F659AEF86B0FF64BC__1_0_13123_0, StartTime=2016.05.08-20.26.28, HierarchicalDDC=, DataSize=347, Duration=2.150755, RunGuid=RunID9C954ACF421397746C860E9CA2B2F3C9
