CookerStat, GenerateAssetRegistry=0.023514, Initialize=0.129171, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2B9CA06E4051602C3E23399A4145F888__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=965, Duration=1.637720, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_452755FE4FE73B4C1CC8E9A204E2B57D__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=563, Duration=1.724847, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_928BAD1B4294CBA0635D23B062F214A2__1_0_13123_0, StartTime=2016.05.26-20.48.40, HierarchicalDDC=, DataSize=625, Duration=1.698017, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4988AD5A4C0D16EED119118447584FB9__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=458, Duration=1.462910, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BACBE8EF468EF54DA5D5C0AD0BBF7946__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=458, Duration=1.590144, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5738B365404D2F9C818743AAAAD554C3__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=1955, Duration=1.469549, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6C88C2BD4E2B2C2A596C2AB8B3B87B2C__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=787, Duration=1.598719, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BDA9C6984B6EF99BFCFB3DA7FCB2134A__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=737, Duration=1.613658, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_10, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_47FA894744CA955670F5A7AE86F2FBFE__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=1417, Duration=1.477018, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BA16D8884BAEC52F4422EBBC4618CEA6__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=4899, Duration=1.365274, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F86E2C504AEC74977FCB3DB6844781A3__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=449, Duration=1.320463, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5DCE576947F2E3490EE8EAA4CDFCD64C__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=1805, Duration=1.390722, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_068C86ED49550393E2E65EBCB0100326__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=3391, Duration=1.293637, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FCC6F9FF4DFBD62352CE83B170B4D0E8__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=461, Duration=1.271784, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C3F30B594B6CE28B91967484B8A7D661__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=461, Duration=1.664825, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_61203F1844325EA5DF18A7BC944A97FC__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=1765, Duration=1.355041, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
